Date,Open,High,Low,Close,Adj Close**,Volume
"Dec 16, 2019",28192,28337,28192,28236,"28,235.89",286770000
"Dec 13, 2019",28124,28291,28028,28135,"28,135.38",250660000
"Dec 12, 2019",27898,28225,27860,28132,"28,132.05",277740000
"Dec 11, 2019",27867,27926,27802,27911,"27,911.30",213510000
"Dec 10, 2019",27901,27949,27804,27882,"27,881.72",213250000
"Dec 09, 2019",27987,28010,27906,27910,"27,909.60",217000000
"Dec 06, 2019",27840,28036,27840,28015,"28,015.06",223310000
"Dec 05, 2019",27736,27745,27563,27678,"27,677.79",208600000
"Dec 04, 2019",27635,27727,27612,27650,"27,649.78",218200000
"Dec 03, 2019",27502,27525,27325,27503,"27,502.81",275350000
"Dec 02, 2019",28110,28110,27782,27783,"27,783.04",236610000
"Nov 29, 2019",28103,28120,28043,28051,"28,051.41",120630000
"Nov 27, 2019",28156,28175,28075,28164,"28,164.00",198210000
"Nov 26, 2019",28081,28146,28042,28122,"28,121.68",324050000
"Nov 25, 2019",27918,28069,27918,28066,"28,066.47",248420000
"Nov 22, 2019",27831,27898,27774,27876,"27,875.62",214780000
"Nov 21, 2019",27820,27828,27708,27766,"27,766.29",232020000
"Nov 20, 2019",27880,27897,27675,27821,"27,821.09",258140000
"Nov 19, 2019",28080,28090,27895,27934,"27,934.02",245890000
"Nov 18, 2019",27993,28041,27969,28036,"28,036.22",252320000
"Nov 15, 2019",27844,28005,27844,28005,"28,004.89",283720000
"Nov 14, 2019",27757,27801,27677,27782,"27,781.96",303970000
"Nov 13, 2019",27622,27806,27587,27784,"27,783.59",278390000
"Nov 12, 2019",27702,27771,27635,27691,"27,691.49",213670000
"Nov 11, 2019",27581,27714,27518,27691,"27,691.49",202350000
"Nov 08, 2019",27686,27695,27579,27681,"27,681.24",221440000
"Nov 07, 2019",27590,27775,27590,27675,"27,674.80",259020000
"Nov 06, 2019",27503,27526,27408,27493,"27,492.56",237910000
"Nov 05, 2019",27500,27560,27454,27493,"27,492.63",286350000
"Nov 04, 2019",27402,27518,27402,27462,"27,462.11",273030000
"Nov 01, 2019",27143,27347,27143,27347,"27,347.36",270870000
"Oct 31, 2019",27188,27188,26918,27046,"27,046.23",273830000
"Oct 30, 2019",27111,27204,27000,27187,"27,186.69",231750000
"Oct 29, 2019",27061,27166,27040,27071,"27,071.46",269610000
"Oct 28, 2019",27040,27168,27029,27091,"27,090.72",290770000
"Oct 25, 2019",26790,27015,26766,26958,"26,958.06",274610000
"Oct 24, 2019",26894,26932,26714,26806,"26,805.53",253590000
"Oct 23, 2019",26835,26897,26745,26834,"26,833.95",247680000
"Oct 22, 2019",26850,26947,26783,26788,"26,788.10",265510000
"Oct 21, 2019",26853,26853,26748,26828,"26,827.64",241030000
"Oct 18, 2019",27004,27018,26770,26770,"26,770.20",288970000
"Oct 17, 2019",27032,27112,26970,27026,"27,025.88",222540000
"Oct 16, 2019",26972,27058,26943,27002,"27,001.98",214660000
"Oct 15, 2019",26811,27120,26811,27025,"27,024.80",245510000
"Oct 14, 2019",26766,26874,26749,26787,"26,787.36",178620000
"Oct 11, 2019",26694,27014,26694,26817,"26,816.59",282080000
"Oct 10, 2019",26317,26603,26315,26497,"26,496.67",217680000
"Oct 09, 2019",26308,26424,26250,26346,"26,346.01",190060000
"Oct 08, 2019",26277,26422,26140,26164,"26,164.04",244590000
"Oct 07, 2019",26502,26656,26425,26478,"26,478.02",195200000
"Oct 04, 2019",26272,26591,26272,26574,"26,573.72",221310000
"Oct 03, 2019",26039,26205,25743,26201,"26,201.04",241610000
"Oct 02, 2019",26426,26438,25974,26079,"26,078.62",309640000
"Oct 01, 2019",26963,27046,26562,26573,"26,573.04",260110000
"Sep 30, 2019",26852,26999,26852,26917,"26,916.83",222680000
"Sep 27, 2019",26987,27013,26716,26820,"26,820.25",217780000
"Sep 26, 2019",27004,27015,26804,26891,"26,891.12",229180000
"Sep 25, 2019",26867,27017,26756,26971,"26,970.71",237220000
